metric,Pearson,Spearman
Delta_head10,-0.1163,-0.2267
Delta_neff,-0.1194,-0.0884
AUC_Delta_neff,-0.1062,-0.0621
Delta_alpha,-0.0221,-0.0578
Delta_spectral_entropy,0.01,0.0269
Slope_Delta_neff,-0.0364,0.0392
Delta_kappa,0.1557,0.1239
Delta_largest_eig,0.1951,0.1435
Delta_trace,0.1628,0.2121
Delta_pr,0.1765,0.224
Delta_tail,0.1163,0.2267
