metric,Pearson,Spearman
Slope_Delta_neff,-0.8835,-0.924
Delta_trace,-0.4543,-0.3162
Delta_head10,-0.3143,-0.2353
Delta_largest_eig,-0.0692,-0.1544
Delta_alpha,0.0304,0.027
Delta_spectral_entropy,0.1741,0.049
Delta_neff,0.0748,0.1029
Delta_kappa,0.2268,0.1348
AUC_Delta_neff,0.2246,0.152
Delta_tail,0.3143,0.2353
Delta_pr,0.3411,0.4142
