metric,Pearson,Spearman
Delta_trace,-0.0228,-0.0907
Delta_tail,0.2008,-0.0499
Delta_alpha,-0.3155,-0.0499
Delta_pr,0.247,-0.0045
Delta_spectral_entropy,0.1039,0.0
Delta_head10,-0.2008,0.0499
Delta_largest_eig,0.0109,0.0862
AUC_Delta_neff,-0.0959,0.0907
Delta_kappa,-0.1819,0.0907
Delta_neff,-0.0916,0.1361
Slope_Delta_neff,-0.0323,0.2948
