corruption,AUC_Delta_neff,Slope_Delta_neff,DeltaAccuracy_PTQ_FP8_E4M3,DeltaAccuracy_GPTQ_FP8_E4M3,Delta_trace,Delta_largest_eig,Delta_head10,Delta_tail,Delta_pr,Delta_spectral_entropy,Delta_kappa,Delta_neff,Delta_alpha
clean,-26.6318530613691,-1.2166037646573393,-0.008349609374999956,-0.005029296874999978,-3738.267,-1013.11206,0.044276655,-0.044276625,-1.2706628202473822,-0.3229475,-658.77954,-10.867126,0.02109869024951827
screwset_multi_object,3.6237203997515053,-0.19634966982111735,-0.014843750000000017,-0.018750000000000017,-17697.246,-46.052734,0.13000059,-0.13000071,-5.123796970476897,-0.6775992,1743.1758,0.21450043,0.06888700912082535
screwset_occlusion_bottom_right,23.776997406425778,-0.11391042158519582,0.0007812499999999972,0.0,-16809.41,3414.2266,0.084794074,-0.084794104,-14.591609673416173,-0.25192785,2180.1436,5.544304,0.1399016139870779
screwset_occlusion_top_left,7.724881268777665,-0.14475699503411832,-0.005468749999999998,-0.005468749999999998,-678357.1,-414943.66,-0.19712967,0.19712977,10.329047228030543,1.223449,-11344.677,1.4209213,-0.1555490599544873
screwset_reflection,-36.60724946966042,-0.2968095384809786,0.0,0.0,-17606440.0,-2769135.5,-0.06115365,0.06115362,4.7405520558784175,0.13268852,509.40698,-10.187401,-0.20257355249199804
screwset_scrap_paper,47.59983274499791,-0.20733545374115891,-0.07109374999999998,-0.08515624999999999,-5871.1016,2430.747,0.04786414,-0.04786417,-4.133935644964403,-0.26082492,2377.9534,11.170563,0.06320400568966633
screwset_shadow,15.399968886064926,-0.3179576256917187,0.0,0.0,-3164232.8,-858879.3,0.059924543,-0.059924424,-0.009306688280428688,-0.09188604,539.0525,2.7280426,0.10590980839425801
