corruption,AUC_Delta_neff,Slope_Delta_neff,DeltaAccuracy_fp8,Delta_trace,Delta_largest_eig,Delta_head10,Delta_tail,Delta_pr,Delta_spectral_entropy,Delta_kappa,Delta_neff,Delta_alpha
clean,188.71774615889802,-3.3251317308491686,-0.05112304687500002,1499.1912,871.96277,0.005928874,-0.0059291273,-3.1686780590804986,-0.32539463,848.94495,35.69743,0.01322479205726923
screwset_multi_object,-3.3583570846279827,0.33431257337065645,0.07265625000000003,21385.102,12740.333,0.117179036,-0.11717917,-3.702198446714114,-0.70718,7624.683,0.33740234,0.1131514111775953
screwset_occlusion_bottom_right,-3.6314748304887985,0.18220756684782557,-0.002343750000000002,15535.093,11127.688,0.14566153,-0.14566162,-14.08371484229712,-0.8271091,1497.2014,-0.27108002,0.015384617140925982
screwset_occlusion_top_left,3.8619057579775813,-0.07329717005014302,0.0007812500000000007,15755.643,15419.135,0.19116706,-0.19116707,-3.7319437165255334,-0.9341755,4711.839,0.7067795,0.2007652713352075
screwset_reflection,-3.8538878364882407,0.07474456715467781,0.010937500000000003,5046.6562,1340.9346,0.06257892,-0.06257892,-3.195275057667791,-0.1722064,244.62207,-0.70098114,0.07496043096888716
screwset_scrap_paper,-3.5179912776744686,0.2346950731145263,0.02656249999999999,7810.2812,3738.737,0.070593834,-0.07059379,-2.318265908023803,-0.34657216,1291.7136,-0.061088562,0.08977174699615809
screwset_shadow,0.5079814598697112,0.26616440614162684,0.009375000000000022,6403.9463,2890.5317,0.071403086,-0.07140291,-6.262448993270217,-0.37082934,2124.3335,1.0647736,0.10859309310336585
