metric,Pearson,Spearman
AUC_Delta_neff,-0.2052,-0.174
Delta_spectral_entropy,-0.1595,-0.1314
Delta_neff,-0.1298,-0.1116
Delta_pr,-0.1307,-0.0999
Delta_trace,-0.0374,-0.0778
Delta_tail,-0.0986,-0.069
Delta_alpha,0.0043,-0.0419
Delta_kappa,0.1371,0.0213
Delta_head10,0.0986,0.069
Delta_largest_eig,0.1603,0.1131
Slope_Delta_neff,0.1118,0.1476
